"Sycamore Networks, Inc.","Ciena Corporation"
"Sycamore Networks, Inc.","Tellabs, Inc."
"Tellabs, Inc.","ADTRAN, Inc."
"Tellabs, Inc.","Ciena Corporation"
"Tellabs, Inc.","Sycamore Networks, Inc."
"Texas Instruments Incorporated","Analog Devices, Inc."
"Texas Instruments Incorporated","Maxim Integrated Products Inc."
"Texas Instruments Incorporated","STMicroelectronics N.V. (ADR)"
"Western Digital Corp.","OCZ Technology Group Inc."
"Western Digital Corp.","STEC, Inc."
"Western Digital Corp.","Seagate Technology PLC"
